country,year,gdp_total_yearly_growth,human_development_index,unempolyment_rate_percent,population_total
Angola,1994,1.34,,,13500000
Angola,1995,15.0,,,13900000
Angola,1996,20.0,,,14400000
Angola,1997,5.5,,,14900000
Angola,1998,0.0,,,15400000
Angola,1999,3.24,0.384,,15900000
Angola,2000,3.01,0.39399999999999996,,16400000
Angola,2001,3.14,0.40399999999999997,,16900000
Angola,2002,14.5,0.419,,17500000
Angola,2003,3.3,0.428,,18100000
Angola,2004,11.2,0.44,,18800000
Angola,2005,20.5,0.45299999999999996,,19400000
Angola,2006,18.6,0.466,,20100000
Angola,2007,23.2,0.48200000000000004,,20900000
Angola,2008,13.8,0.494,,21700000
Angola,2009,2.39,0.508,,22500000
Angola,2010,3.45,0.51,,23400000
Angola,2011,3.87,0.525,0.0156,24200000
Angola,2012,4.96,0.537,,25100000
Angola,2013,3.79,0.547,,26000000
Argentina,1990,-1.85,0.7070000000000001,,32600000
Argentina,1991,10.8,0.7140000000000001,,33100000
Argentina,1992,10.0,0.7190000000000001,,33500000
Argentina,1993,6.04,0.725,,34000000
Argentina,1994,6.12,0.7290000000000001,,34400000
Argentina,1995,-2.7,0.731,,34800000
Argentina,1996,5.76,0.738,,35200000
Argentina,1997,8.34,0.746,,35700000
Argentina,1998,3.99,0.752,,36100000
Argentina,1999,-3.38,0.763,,36500000
Argentina,2000,-0.807,0.77,,36900000
Argentina,2001,-4.52,0.775,,37300000
Argentina,2002,-11.1,0.77,,37700000
Argentina,2003,8.76,0.775,,38100000
Argentina,2004,8.88,0.775,0.0172,38500000
Argentina,2005,9.08,0.777,0.0139,38900000
Argentina,2006,8.21,0.8009999999999999,0.0111,39300000
Argentina,2007,8.39,0.8059999999999999,,39700000
Argentina,2008,6.5,0.81,0.0088,40100000
Argentina,2009,0.598,0.81,0.00925,40500000
Argentina,2010,8.88,0.818,0.00866,40900000
Argentina,2011,8.59,0.823,0.00783,41300000
Argentina,2012,1.64,0.823,0.00811,41800000
Argentina,2013,3.98,0.8240000000000001,0.00798,42200000
Armenia,1990,-3.82,0.633,,3540000
Armenia,1991,-14.1,0.629,,3510000
Armenia,1992,-41.8,0.585,,3440000
Armenia,1993,-6.86,0.59,,3360000
Armenia,1994,6.38,0.6,,3280000
Armenia,1995,6.67,0.604,,3220000
Armenia,1996,4.41,0.614,,3170000
Armenia,1997,2.23,0.625,,3130000
Armenia,1998,6.76,0.637,,3110000
Armenia,1999,2.74,0.644,,3090000
Armenia,2000,5.58,0.649,,3070000
Armenia,2001,9.77,0.653,,3050000
Armenia,2002,15.4,0.6629999999999999,,3030000
Armenia,2003,14.3,0.672,,3020000
Armenia,2004,11.0,0.6809999999999999,,3000000
Armenia,2005,14.4,0.6940000000000001,,2980000
Armenia,2006,13.2,0.708,,2960000
Armenia,2007,13.7,0.7240000000000001,,2930000
Armenia,2008,6.86,0.727,,2910000
Armenia,2009,-14.8,0.7240000000000001,,2890000
Armenia,2010,1.42,0.7290000000000001,,2880000
Armenia,2011,3.94,0.733,,2880000
Armenia,2012,7.22,0.737,,2880000
Armenia,2013,3.27,0.743,,2900000
Australia,1990,1.52,0.866,0.0124,17000000
Australia,1991,0.184,0.867,0.0194,17200000
Australia,1992,3.55,0.868,0.0266,17400000
Australia,1993,3.84,0.872,0.0271,17600000
Australia,1994,4.15,0.875,0.0237,17800000
Australia,1995,4.11,0.883,0.0191,18000000
Australia,1996,3.62,0.8859999999999999,0.0176,18200000
Australia,1997,4.4,0.889,0.0185,18400000
Australia,1998,5.52,0.892,0.0178,18600000
Australia,1999,4.06,0.895,0.0147,18800000
Australia,2000,2.04,0.898,0.0124,19000000
Australia,2001,3.91,0.9,0.0124,19200000
Australia,2002,3.31,0.903,0.0117,19400000
Australia,2003,4.33,0.904,0.0105,19600000
Australia,2004,2.82,0.907,0.009179999999999999,19900000
Australia,2005,3.7,0.902,0.00792,20200000
Australia,2006,2.93,0.905,0.00762,20500000
Australia,2007,4.86,0.9079999999999999,0.0061600000000000005,20900000
Australia,2008,2.6,0.922,0.0059299999999999995,21300000
Australia,2009,1.64,0.9229999999999999,0.008759999999999999,21800000
Australia,2010,3.14,0.9259999999999999,0.00912,22200000
Australia,2011,2.59,0.9279999999999999,0.00866,22500000
Australia,2012,3.19,0.932,0.00907,22900000
Australia,2013,2.47,0.9259999999999999,0.0102,23300000
Austria,1990,3.78,0.795,,7720000
Austria,1991,2.99,0.799,,7770000
Austria,1992,1.88,0.805,,7830000
Austria,1993,0.193,0.809,,7890000
Austria,1994,2.87,0.813,0.00859,7950000
Austria,1995,2.19,0.8170000000000001,0.0088,7990000
Austria,1996,2.77,0.82,0.0107,8020000
Austria,1997,1.87,0.8240000000000001,0.0115,8030000
Austria,1998,3.54,0.828,0.0114,8040000
Austria,1999,3.21,0.8340000000000001,0.0107,8050000
Austria,2000,3.38,0.838,0.00984,8070000
Austria,2001,1.01,0.8490000000000001,0.00797,8100000
Austria,2002,1.25,0.838,0.00743,8130000
Austria,2003,1.64,0.8420000000000001,0.00908,8180000
Austria,2004,2.83,0.8490000000000001,0.0119,8220000
Austria,2005,2.53,0.855,0.0118,8250000
Austria,2006,3.65,0.861,0.0114,8290000
Austria,2007,3.75,0.8809999999999999,0.0107,8310000
Austria,2008,1.39,0.884,0.008790000000000001,8340000
Austria,2009,-3.77,0.8859999999999999,0.0107,8370000
Austria,2010,2.04,0.895,0.0105,8410000
Austria,2011,2.53,0.897,0.009890000000000001,8450000
Austria,2012,0.521,0.899,0.0106,8500000
Austria,2013,0.27699999999999997,0.8959999999999999,0.0118,8560000
Azerbaijan,1990,-2.01,,,7240000
Azerbaijan,1991,-0.602,,,7360000
Azerbaijan,1992,-22.5,,,7470000
Azerbaijan,1993,-22.8,,,7580000
Azerbaijan,1994,-19.4,,,7680000
Azerbaijan,1995,-11.4,0.612,,7780000
Azerbaijan,1996,1.84,0.612,,7860000
Azerbaijan,1997,6.35,0.618,,7930000
Azerbaijan,1998,10.6,0.627,,7990000
Azerbaijan,1999,8.04,0.634,,8050000
Azerbaijan,2000,11.8,0.6409999999999999,,8120000
Azerbaijan,2001,10.7,0.649,,8200000
Azerbaijan,2002,11.4,0.6579999999999999,,8280000
Azerbaijan,2003,12.0,0.667,,8360000
Azerbaijan,2004,12.3,0.674,,8450000
Azerbaijan,2005,25.2,0.6809999999999999,,8540000
Azerbaijan,2006,34.6,0.7070000000000001,,8630000
Azerbaijan,2007,25.1,0.7120000000000001,,8720000
Azerbaijan,2008,10.9,0.721,,8820000
Azerbaijan,2009,9.35,0.7340000000000001,0.0254,8920000
Azerbaijan,2010,5.17,0.732,0.0244,9030000
Azerbaijan,2011,0.11900000000000001,0.731,0.0239,9150000
Azerbaijan,2012,2.04,0.736,0.0229,9260000
Azerbaijan,2013,6.21,0.741,0.022000000000000002,9390000
Bangladesh,1990,7.22,0.38799999999999996,,103000000
Bangladesh,1991,3.88,0.395,,106000000
Bangladesh,1992,5.76,0.40299999999999997,,108000000
Bangladesh,1993,5.26,0.41100000000000003,,110000000
Bangladesh,1994,4.65,0.419,,113000000
Bangladesh,1995,5.42,0.42700000000000005,,115000000
Bangladesh,1996,5.03,0.436,,118000000
Bangladesh,1997,5.68,0.444,,120000000
Bangladesh,1998,5.39,0.45299999999999996,,123000000
Bangladesh,1999,4.92,0.462,,125000000
Bangladesh,2000,5.89,0.47,,128000000
Bangladesh,2001,5.12,0.479,,130000000
Bangladesh,2002,4.15,0.485,,132000000
Bangladesh,2003,4.86,0.49200000000000005,,135000000
Bangladesh,2004,5.84,0.499,,137000000
Bangladesh,2005,5.28,0.506,,139000000
Bangladesh,2006,6.53,0.514,0.0011300000000000001,141000000
Bangladesh,2007,6.3,0.521,,143000000
Bangladesh,2008,5.96,0.524,,144000000
Bangladesh,2009,5.91,0.535,,146000000
Bangladesh,2010,6.4,0.5489999999999999,0.0113,148000000
Bangladesh,2011,6.66,0.5589999999999999,,149000000
Bangladesh,2012,6.21,0.5670000000000001,,151000000
Bangladesh,2013,6.04,0.5720000000000001,0.00969,153000000
Belarus,1990,-1.64,,,10200000
Belarus,1991,-1.45,,,10200000
Belarus,1992,-10.0,,,10200000
Belarus,1993,-8.06,,,10100000
Belarus,1994,-12.0,,,10100000
Belarus,1995,-10.7,0.6559999999999999,,10100000
Belarus,1996,2.45,0.6609999999999999,,10000000
Belarus,1997,11.0,0.667,,10000000
Belarus,1998,8.0,0.6709999999999999,,9970000
Belarus,1999,3.01,0.6759999999999999,,9920000
Belarus,2000,5.44,0.682,,9870000
Belarus,2001,4.37,0.6890000000000001,,9810000
Belarus,2002,4.66,0.696,,9750000
Belarus,2003,6.45,0.7040000000000001,,9680000
Belarus,2004,11.0,0.7140000000000001,,9620000
Belarus,2005,8.88,0.7240000000000001,,9560000
Belarus,2006,9.87,0.74,,9520000
Belarus,2007,8.38,0.7559999999999999,,9480000
Belarus,2008,11.7,0.774,,9450000
Belarus,2009,-0.152,0.784,,9430000
Belarus,2010,7.5,0.792,,9420000
Belarus,2011,5.68,0.7979999999999999,,9420000
Belarus,2012,1.56,0.8029999999999999,,9420000
Belarus,2013,0.601,0.8079999999999999,,9420000
Belgium,1990,2.98,0.8059999999999999,,10000000
Belgium,1991,1.75,0.81,,10000000
Belgium,1992,1.4,0.825,0.0201,10100000
Belgium,1993,-1.08,0.838,0.0229,10100000
Belgium,1994,3.11,0.845,0.0296,10200000
Belgium,1995,2.28,0.851,0.0298,10200000
Belgium,1996,1.11,0.857,0.0301,10200000
Belgium,1997,3.28,0.862,0.0285,10200000
Belgium,1998,1.86,0.866,0.0296,10200000
Belgium,1999,3.44,0.868,0.0271,10300000
Belgium,2000,3.75,0.873,0.0203,10300000
Belgium,2001,0.8590000000000001,0.8759999999999999,0.0171,10300000
Belgium,2002,1.73,0.879,0.0195,10400000
Belgium,2003,1.3,0.882,0.0209,10400000
Belgium,2004,3.35,0.885,0.0217,10500000
Belgium,2005,2.07,0.889,0.0247,10500000
Belgium,2006,2.62,0.8959999999999999,0.0235,10600000
Belgium,2007,2.79,0.899,0.0214,10700000
Belgium,2008,0.809,0.899,0.0189,10800000
Belgium,2009,-3.02,0.899,0.021,10900000
Belgium,2010,2.09,0.903,0.0245,10900000
Belgium,2011,0.69,0.904,0.0202,11000000
Belgium,2012,-0.674,0.905,0.0202,11100000
Belgium,2013,-0.0943,0.9079999999999999,0.0238,11200000
Belize,1990,10.3,0.613,,188000
Belize,1991,12.0,0.618,,191000
Belize,1992,12.4,0.624,,194000
Belize,1993,6.21,0.627,,198000
Belize,1994,0.34700000000000003,0.627,,202000
Belize,1995,0.584,0.627,,207000
Belize,1996,1.96,0.627,,214000
Belize,1997,2.65,0.63,,222000
Belize,1998,2.6,0.631,,230000
Belize,1999,9.07,0.636,,239000
Belize,2000,11.9,0.643,,247000
Belize,2001,4.36,0.647,,255000
Belize,2002,4.37,0.655,,262000
Belize,2003,8.4,0.6629999999999999,,269000
Belize,2004,3.64,0.6679999999999999,,277000
Belize,2005,2.07,0.6659999999999999,,284000
Belize,2006,4.48,0.6759999999999999,,291000
Belize,2007,-1.41,0.6779999999999999,,299000
Belize,2008,3.5,0.6829999999999999,,307000
Belize,2009,0.495,0.688,,315000
Belize,2010,3.27,0.693,,322000
Belize,2011,2.27,0.6990000000000001,,330000
Belize,2012,4.37,0.706,,338000
Belize,2013,1.84,0.7070000000000001,,346000
Bhutan,1990,11.4,,,531000
Bhutan,1991,0.77,,,535000
Bhutan,1992,3.73,,,535000
Bhutan,1993,2.08,,,533000
Bhutan,1994,5.94,,,532000
Bhutan,1995,6.8,,,535000
Bhutan,1996,6.4,,,541000
Bhutan,1997,5.83,,,552000
Bhutan,1998,6.1,,,564000
Bhutan,1999,7.94,,,578000
Bhutan,2000,7.72,,,591000
Bhutan,2001,7.3,,,604000
Bhutan,2002,10.2,,,616000
Bhutan,2003,7.79,,,628000
Bhutan,2004,7.09,,,639000
Bhutan,2005,6.91,0.512,,649000
Bhutan,2006,6.85,0.524,,657000
Bhutan,2007,17.9,0.539,,665000
Bhutan,2008,4.67,0.547,,672000
Bhutan,2009,6.73,0.5589999999999999,,678000
Bhutan,2010,11.7,0.5710000000000001,,686000
Bhutan,2011,8.51,0.581,,693000
Bhutan,2012,7.51,0.591,,702000
Bhutan,2013,6.4,0.594,0.00648,710000
Bolivia,1990,5.13,0.54,,6860000
Bolivia,1991,5.33,0.5489999999999999,,7010000
Bolivia,1992,1.65,0.555,,7160000
Bolivia,1993,4.2,0.562,,7310000
Bolivia,1994,4.85,0.57,,7470000
Bolivia,1995,4.77,0.578,,7620000
Bolivia,1996,4.48,0.585,,7780000
Bolivia,1997,5.09,0.5870000000000001,,7940000
Bolivia,1998,5.32,0.599,,8100000
Bolivia,1999,0.5489999999999999,0.608,,8260000
Bolivia,2000,2.59,0.616,,8420000
Bolivia,2001,1.9,0.619,,8580000
Bolivia,2002,2.7,0.625,,8740000
Bolivia,2003,3.08,0.629,,8910000
Bolivia,2004,4.2,0.63,,9070000
Bolivia,2005,4.4,0.632,0.00974,9230000
Bolivia,2006,4.42,0.638,0.00807,9400000
Bolivia,2007,4.16,0.638,0.0055,9560000
Bolivia,2008,5.73,0.647,0.00449,9720000
Bolivia,2009,2.97,0.6509999999999999,0.00521,9880000
Bolivia,2010,3.77,0.6559999999999999,,10000000
Bolivia,2011,4.81,0.66,0.00359,10200000
Bolivia,2012,4.85,0.6629999999999999,0.00328,10400000
Bolivia,2013,6.46,0.6729999999999999,0.004220000000000001,10500000
Bosnia and Herzegovina,1990,-8.89,,,4460000
Bosnia and Herzegovina,1991,-15.2,,,4370000
Bosnia and Herzegovina,1992,-28.7,,,4230000
Bosnia and Herzegovina,1993,-30.4,,,4080000
Bosnia and Herzegovina,1994,1.03,,,3940000
Bosnia and Herzegovina,1995,4.11,,,3830000
Bosnia and Herzegovina,1996,57.2,,,3760000
Bosnia and Herzegovina,1997,39.1,,,3740000
Bosnia and Herzegovina,1998,13.9,,,3730000
Bosnia and Herzegovina,1999,9.27,,,3740000
Bosnia and Herzegovina,2000,6.04,0.669,,3750000
Bosnia and Herzegovina,2001,4.09,0.675,,3760000
Bosnia and Herzegovina,2002,3.1,0.6809999999999999,,3760000
Bosnia and Herzegovina,2003,1.49,0.6859999999999999,,3760000
Bosnia and Herzegovina,2004,3.56,0.6920000000000001,,3760000
Bosnia and Herzegovina,2005,2.98,0.7,,3770000
Bosnia and Herzegovina,2006,5.96,0.706,0.0885,3770000
Bosnia and Herzegovina,2007,6.13,0.713,0.084,3760000
Bosnia and Herzegovina,2008,5.59,0.72,0.066,3750000
Bosnia and Herzegovina,2009,-2.91,0.72,0.0649,3740000
Bosnia and Herzegovina,2010,0.706,0.7140000000000001,0.0748,3710000
Bosnia and Herzegovina,2011,1.23,0.722,0.0732,3660000
Bosnia and Herzegovina,2012,-1.26,0.741,0.0755,3600000
Bosnia and Herzegovina,2013,1.13,0.748,,3540000
Brunei,1990,2.73,0.768,,259000
Brunei,1991,4.04,0.773,,266000
Brunei,1992,-1.09,0.778,,274000
Brunei,1993,0.526,0.7829999999999999,,282000
Brunei,1994,1.82,0.7879999999999999,,289000
Brunei,1995,3.06,0.7909999999999999,,297000
Brunei,1996,3.58,0.794,,305000
Brunei,1997,4.09,0.797,,312000
Brunei,1998,-0.568,0.7979999999999999,,319000
Brunei,1999,3.01,0.804,,326000
Brunei,2000,2.76,0.805,,333000
Brunei,2001,2.6,0.8059999999999999,,340000
Brunei,2002,3.68,0.809,,347000
Brunei,2003,2.68,0.815,,353000
Brunei,2004,0.292,0.82,,359000
Brunei,2005,0.184,0.8240000000000001,,365000
Brunei,2006,4.71,0.8270000000000001,,370000
Brunei,2007,0.5820000000000001,0.8270000000000001,,375000
Brunei,2008,-1.41,0.828,,379000
Brunei,2009,-1.28,0.831,,384000
Brunei,2010,2.64,0.8320000000000001,,389000
Brunei,2011,2.44,0.836,,394000
Brunei,2012,1.03,0.843,,399000
Brunei,2013,-1.11,0.8440000000000001,,404000
Bulgaria,1990,-10.6,0.6940000000000001,,8840000
Bulgaria,1991,-7.93,0.691,,8770000
Bulgaria,1992,-7.07,0.691,,8680000
Bulgaria,1993,-0.149,0.69,,8580000
Bulgaria,1994,1.67,0.691,,8470000
Bulgaria,1995,2.96,0.6970000000000001,,8380000
Bulgaria,1996,-9.27,0.703,,8290000
Bulgaria,1997,-5.35,0.7040000000000001,,8210000
Bulgaria,1998,4.36,0.71,,8140000
Bulgaria,1999,2.51,0.7090000000000001,,8070000
Bulgaria,2000,5.6,0.7120000000000001,0.0533,8000000
Bulgaria,2001,4.41,0.722,0.0678,7930000
Bulgaria,2002,5.21,0.7290000000000001,0.0622,7870000
Bulgaria,2003,4.61,0.738,0.047,7800000
Bulgaria,2004,6.9,0.745,0.0378,7740000
Bulgaria,2005,6.55,0.75,0.0317,7690000
Bulgaria,2006,6.37,0.7559999999999999,0.0279,7630000
Bulgaria,2007,6.31,0.764,0.0233,7580000
Bulgaria,2008,5.98,0.7709999999999999,0.0177,7520000
Bulgaria,2009,-5.55,0.774,0.0197,7470000
Bulgaria,2010,0.531,0.779,0.032,7430000
Bulgaria,2011,3.64,0.782,0.0375,7380000
Bulgaria,2012,0.5539999999999999,0.7859999999999999,0.0406,7330000
Bulgaria,2013,0.8059999999999999,0.792,0.0441,7290000
Cambodia,1990,0.542,0.384,,8980000
Cambodia,1991,9.74,0.38799999999999996,,9290000
Cambodia,1992,7.4,0.39299999999999996,,9620000
Cambodia,1993,-5.39,0.397,,9970000
Cambodia,1994,8.49,0.374,,10300000
Cambodia,1995,9.52,0.387,,10700000
Cambodia,1996,-3.21,0.391,,11000000
Cambodia,1997,7.29,0.397,,11300000
Cambodia,1998,2.18,0.402,,11600000
Cambodia,1999,13.0,0.40700000000000003,,11900000
Cambodia,2000,7.05,0.419,,12200000
Cambodia,2001,8.33,0.434,,12400000
Cambodia,2002,10.5,0.45299999999999996,,12600000
Cambodia,2003,8.15,0.466,,12900000
Cambodia,2004,9.01,0.478,,13100000
Cambodia,2005,12.5,0.49,,13300000
Cambodia,2006,9.43,0.502,,13500000
Cambodia,2007,10.2,0.516,,13700000
Cambodia,2008,6.12,0.521,,13900000
Cambodia,2009,-0.452,0.524,,14100000
Cambodia,2010,6.25,0.535,,14300000
Cambodia,2011,7.27,0.542,,14500000
Cambodia,2012,7.51,0.5479999999999999,0.0013,14800000
Cambodia,2013,7.26,0.555,,15000000
Cameroon,1990,-1.69,0.445,,11800000
Cameroon,1991,-3.85,0.442,,12100000
Cameroon,1992,-3.13,0.43799999999999994,,12500000
Cameroon,1993,-3.23,0.43200000000000005,,12900000
Cameroon,1994,-2.54,0.43,,13200000
Cameroon,1995,3.28,0.429,,13600000
Cameroon,1996,4.93,0.428,,14000000
Cameroon,1997,5.01,0.429,,14300000
Cameroon,1998,4.9,0.434,,14700000
Cameroon,1999,4.34,0.434,,15100000
Cameroon,2000,4.21,0.439,,15500000
Cameroon,2001,5.35,0.455,,15900000
Cameroon,2002,6.53,0.457,,16400000
Cameroon,2003,4.05,0.46299999999999997,,16800000
Cameroon,2004,3.82,0.46799999999999997,,17300000
Cameroon,2005,2.15,0.469,,17700000
Cameroon,2006,2.67,0.47,,18200000
Cameroon,2007,2.28,0.48100000000000004,,18700000
Cameroon,2008,3.05,0.489,,19300000
Cameroon,2009,1.29,0.49700000000000005,,19800000
Cameroon,2010,3.03,0.47100000000000003,0.0122,20300000
Cameroon,2011,3.79,0.513,,20900000
Cameroon,2012,4.26,0.524,,21500000
Cameroon,2013,4.31,0.531,,22100000
Canada,1990,0.10300000000000001,0.85,0.00773,27500000
Canada,1991,-2.04,0.853,0.0123,27900000
Canada,1992,0.624,0.856,0.0159,28200000
Canada,1993,2.07,0.8540000000000001,0.0177,28500000
Canada,1994,4.69,0.8590000000000001,0.0158,28900000
Canada,1995,2.57,0.861,0.0129,29200000
Canada,1996,1.34,0.863,0.0131,29500000
Canada,1997,4.07,0.863,0.0114,29700000
Canada,1998,3.96,0.861,0.009340000000000001,30000000
Canada,1999,5.35,0.8640000000000001,0.00757,30300000
Canada,2000,5.13,0.868,0.00621,30600000
Canada,2001,1.36,0.872,0.0056700000000000006,30900000
Canada,2002,3.37,0.877,0.00674,31200000
Canada,2003,1.97,0.882,0.00665,31500000
Canada,2004,3.2,0.887,0.00615,31800000
Canada,2005,3.21,0.892,0.00554,32200000
Canada,2006,2.7,0.895,0.00483,32500000
Canada,2007,2.08,0.8909999999999999,0.0043100000000000005,32900000
Canada,2008,0.996,0.893,0.004370000000000001,33300000
Canada,2009,-2.98,0.893,0.00727,33700000
Canada,2010,2.98,0.895,0.0092,34100000
Canada,2011,2.48,0.899,0.008620000000000001,34500000
Canada,2012,1.49,0.9059999999999999,0.00758,34900000
Canada,2013,1.77,0.91,0.007679999999999999,35300000
Cape Verde,1990,3.76,,,338000
Cape Verde,1991,0.779,,,346000
Cape Verde,1992,1.17,,,356000
Cape Verde,1993,1.39,,,366000
Cape Verde,1994,7.83,,,376000
Cape Verde,1995,8.97,,,386000
Cape Verde,1996,7.66,,,396000
Cape Verde,1997,8.67,,,404000
Cape Verde,1998,8.22,,,413000
Cape Verde,1999,9.49,,,420000
Cape Verde,2000,7.61,0.564,,428000
Cape Verde,2001,6.92,0.5660000000000001,,436000
Cape Verde,2002,5.89,0.5760000000000001,,443000
Cape Verde,2003,5.47,0.58,,450000
Cape Verde,2004,5.06,0.586,,457000
Cape Verde,2005,6.51,0.5920000000000001,,463000
Cape Verde,2006,9.74,0.606,,469000
Cape Verde,2007,8.15,0.615,,475000
Cape Verde,2008,5.66,0.622,,481000
Cape Verde,2009,3.18,0.623,,487000
Cape Verde,2010,4.68,0.626,,493000
Cape Verde,2011,4.56,0.633,,499000
Cape Verde,2012,1.17,0.634,,505000
Cape Verde,2013,0.259,0.6409999999999999,,512000
Chile,1990,3.7,0.703,,13300000
Chile,1991,8.1,0.7120000000000001,,13500000
Chile,1992,12.5,0.7190000000000001,,13700000
Chile,1993,7.26,0.7120000000000001,,13900000
Chile,1994,8.13,0.7170000000000001,,14200000
Chile,1995,8.61,0.725,,14400000
Chile,1996,7.55,0.732,,14600000
Chile,1997,6.68,0.7390000000000001,,14800000
Chile,1998,3.27,0.741,,15000000
Chile,1999,-0.7290000000000001,0.747,,15200000
Chile,2000,4.54,0.753,,15300000
Chile,2001,3.43,0.764,,15500000
Chile,2002,2.23,0.767,,15700000
Chile,2003,3.96,0.773,,15800000
Chile,2004,6.25,0.782,,16000000
Chile,2005,6.36,0.7879999999999999,,16200000
Chile,2006,5.83,0.787,,16400000
Chile,2007,5.2,0.8009999999999999,,16500000
Chile,2008,3.04,0.8109999999999999,,16700000
Chile,2009,-0.91,0.8190000000000001,,16900000
Chile,2010,5.73,0.8,0.0103,17100000
Chile,2011,5.92,0.812,0.0086,17200000
Chile,2012,5.45,0.818,0.00719,17400000
Chile,2013,4.21,0.83,0.00575,17600000
Colombia,1990,5.09,0.6,,33100000
Colombia,1991,2.32,0.603,,33800000
Colombia,1992,4.27,0.613,,34400000
Colombia,1993,5.63,0.621,,35100000
Colombia,1994,5.08,0.628,,35800000
Colombia,1995,5.15,0.633,,36400000
Colombia,1996,1.96,0.643,,37100000
Colombia,1997,3.39,0.6509999999999999,,37700000
Colombia,1998,0.494,0.6579999999999999,,38400000
Colombia,1999,-4.34,0.6579999999999999,,39000000
Colombia,2000,2.92,0.662,,39600000
Colombia,2001,1.45,0.664,0.0392,40300000
Colombia,2002,1.93,0.667,0.0297,40900000
Colombia,2003,3.89,0.6659999999999999,0.027999999999999997,41500000
Colombia,2004,4.93,0.68,0.0257,42100000
Colombia,2005,5.31,0.693,0.0209,42600000
Colombia,2006,7.03,0.7,,43200000
Colombia,2007,7.22,0.713,0.0121,43700000
Colombia,2008,3.83,0.72,0.0121,44300000
Colombia,2009,1.91,0.7240000000000001,0.0145,44800000
Colombia,2010,4.2,0.7290000000000001,0.0159,45200000
Colombia,2011,6.83,0.735,0.0136,45700000
Colombia,2012,4.36,0.736,0.0124,46100000
Colombia,2013,4.37,0.746,0.0111,46500000
Costa Rica,1990,3.64,0.655,,3120000
Costa Rica,1991,2.27,0.6609999999999999,,3200000
Costa Rica,1992,7.24,0.67,,3290000
Costa Rica,1993,6.0,0.6759999999999999,,3370000
Costa Rica,1994,4.6,0.682,,3460000
Costa Rica,1995,2.61,0.687,,3550000
Costa Rica,1996,1.43,0.69,,3630000
Costa Rica,1997,6.26,0.696,,3720000
Costa Rica,1998,9.13,0.7020000000000001,,3800000
Costa Rica,1999,10.1,0.706,,3890000
Costa Rica,2000,2.76,0.711,,3960000
Costa Rica,2001,1.53,0.7140000000000001,,4030000
Costa Rica,2002,3.29,0.7170000000000001,,4100000
Costa Rica,2003,6.84,0.72,,4160000
Costa Rica,2004,4.36,0.7240000000000001,,4230000
Costa Rica,2005,6.14,0.728,,4290000
Costa Rica,2006,8.38,0.7340000000000001,,4350000
Costa Rica,2007,7.48,0.742,,4400000
Costa Rica,2008,2.26,0.75,,4460000
Costa Rica,2009,-1.41,0.7509999999999999,,4520000
Costa Rica,2010,7.59,0.754,,4580000
Costa Rica,2011,4.51,0.768,,4630000
Costa Rica,2012,5.25,0.774,0.00788,4690000
Costa Rica,2013,2.63,0.777,0.00979,4740000
Cote d'Ivoire,1990,-1.23,0.391,,11900000
